Web Search Interest: flu
United Kingdom; 2011

Interest over time
Week,flu
2011-01-02 - 2011-01-08,100
2011-01-09 - 2011-01-15,65
2011-01-16 - 2011-01-22,35
2011-01-23 - 2011-01-29,23
2011-01-30 - 2011-02-05,17
2011-02-06 - 2011-02-12,18
2011-02-13 - 2011-02-19,13
2011-02-20 - 2011-02-26,11
2011-02-27 - 2011-03-05,11
2011-03-06 - 2011-03-12,11
2011-03-13 - 2011-03-19,11
2011-03-20 - 2011-03-26,11
2011-03-27 - 2011-04-02,10
2011-04-03 - 2011-04-09,9
2011-04-10 - 2011-04-16,8
2011-04-17 - 2011-04-23,6
2011-04-24 - 2011-04-30,7
2011-05-01 - 2011-05-07,7
2011-05-08 - 2011-05-14,5
2011-05-15 - 2011-05-21,4
2011-05-22 - 2011-05-28,5
2011-05-29 - 2011-06-04,5
2011-06-05 - 2011-06-11,5
2011-06-12 - 2011-06-18,5
2011-06-19 - 2011-06-25,5
2011-06-26 - 2011-07-02,4
2011-07-03 - 2011-07-09,4
2011-07-10 - 2011-07-16,4
2011-07-17 - 2011-07-23,4
2011-07-24 - 2011-07-30,4
2011-07-31 - 2011-08-06,4
2011-08-07 - 2011-08-13,4
2011-08-14 - 2011-08-20,4
2011-08-21 - 2011-08-27,4
2011-08-28 - 2011-09-03,5
2011-09-04 - 2011-09-10,6
2011-09-11 - 2011-09-17,7
2011-09-18 - 2011-09-24,9
2011-09-25 - 2011-10-01,11
2011-10-02 - 2011-10-08,15
2011-10-09 - 2011-10-15,15
2011-10-16 - 2011-10-22,14
2011-10-23 - 2011-10-29,14
2011-10-30 - 2011-11-05,14
2011-11-06 - 2011-11-12,18
2011-11-13 - 2011-11-19,12
2011-11-20 - 2011-11-26,12
2011-11-27 - 2011-12-03,11
2011-12-04 - 2011-12-10,10
2011-12-11 - 2011-12-17,10
2011-12-18 - 2011-12-24,11
2011-12-25 - 2011-12-31,9


Top subregions for flu
Subregion,flu
England,100
Northern Ireland,95
Wales,86
Scotland,84
Channel Islands,0
Isle Of Man,0


Top cities for flu
City,flu
London,100
Birmingham,95
Belfast,87
Liverpool,85
Manchester,85
Cambridge,85
Oxford,83
Nottingham,83
Bristol,82
Glasgow,82
Brentford,82
Edinburgh,81
Sheffield,80
Leicester,80
Newcastle upon Tyne,79



Top searches for flu
swine flu,100
symptoms,75
flu symptoms,70
symptoms swine flu,40
the flu,40
flu jab,35
symptoms of flu,20
cold flu,20
flu vaccine,15
cold and flu,10
the flu jab,10
what is flu,10
man flu,5
swine flu vaccine,5
spanish flu,5
stomach,5
stomach flu,5
gastric flu,5
flu vaccination,5
flu virus,5
virus,5
swine flu jab,5
bird flu,5
flu jabs,5
nhs swine flu,5
swine flu 2011,5
flu jab boots,5
cat flu,5
flu like symptoms,5
nhs direct,5
flue,5
flu jab 2011,5
flu treatment,5
flu jab pregnant,5
flu shot,5
flu in pregnancy,5
flu symptons,0
swine flu news,0
flu symptoms 2011,0
flu vaccine 2011,0
flu injection,0
flu jab pregnancy,0
flu remedies,0
flu symtoms,0
tesco flu jab,0
signs of flu,0
influenza,0
swine flu 2010,0
pneumonia,0
flu and pregnancy,0



Rising searches for flu
flu jab 2011,Breakout
swine flu 2011,+1,450%
spanish flu,+250%
flu jab boots,+140%
the flu jab,+80%
flu jab,+60%
flu jabs,+60%
flu jab pregnant,+40%
flu like symptoms,+40%
symptoms of flu,+40%



