
Notes [1]:
"Notes"

"Annual figures are calculated as entries plus exits, weighting weekdays by 253, Saturdays by 52 and Sundays by 59."
"This weighting is based on the assumption that 7 Bank-holidays are represented by 7 Sundays"
"and grossing up to a 364 day year excluding Christmas Day. "
"This adjustment does not change from year to year depending on when the Bank Holidays are "
"but is used as an annual factor for comparing one year with another"

"The data is from files En11WEEK.xls etc."

"Columns D to I are counts for one typical day for the whole traffic day."
"Column J is the annual total in millions."

"Total exits for the system should equal total entries."
"They do not because of inaccuracies in the counts and because counts take place on different days:"
"also some counts include NR passengers."


"Transport Planning - Strategy & Commercial"

"March-2012"

2011 Entry & Exit [2]:
"COUNTS - 2011 - annual entries & exits"
"(C) Copyright, London Underground Limited, 2012"

,,"[ Weights",253,52,59,253,52,59,"]",,
"Counts by station",,,,,,,,,"Annual"
" ",,,"Entry","Entry","Entry","Exit","Exit","Exit","Entry + Exit"
"nlc","Station","Note","Weekday","Saturday","Sunday","Weekday","Saturday","Sunday","million",,
500,"Acton Town                         "," ",8702,6326,4216,8392,5976,4223,5.46
502,"Aldgate                            "," ",11319,2358,2251,10919,3676,2758,6.24
503,"Aldgate East                       "," ",15045,8983,8051,13957,8177,7672,9.16
505,"Alperton                           "," ",4478,3357,2373,4665,3384,2399,2.95
506,"Amersham                           "," ",3461,1496,975,3775,1582,869,2.10
507,"Angel                              "," ",27812,21215,12655,27740,21851,12446,17.78
508,"Archway                            "," ",13511,9146,5741,12556,7138,5108,8.08
509,"Arnos Grove                        "," ",6711,5162,3129,6268,4648,3067,4.16
510,"Arsenal                            "," ",4923,4534,2807,4281,3508,2634,3.07
511,"Baker Street                       "," ",43877,28850,20798,41869,27280,19966,27.02
512,"Balham                             "," ",18448,13543,8334,17769,12143,7961,11.46
513,"Bank & Monument                    ","B",87174,21429,11706,87584,21639,11203,47.80
501,"Barbican                           "," ",16173,6673,3769,15812,6849,3576,9.23
514,"Barking                            "," ",22912,15199,10192,21587,13841,9937,13.96
515,"Barkingside                        "," ",1994,977,653,1872,1012,622,1.16
516,"Barons Court                       "," ",11409,6579,4365,10111,5062,3867,6.54
517,"Bayswater                          "," ",7284,7711,6390,6972,7242,5756,5.10
518,"Becontree                          "," ",4658,2820,1707,4345,2645,1642,2.76
519,"Belsize Park                       "," ",9766,5601,3796,9061,4874,3658,5.75
787,"Bermondsey                         "," ",12166,8160,5653,11173,7462,5580,7.38
520,"Bethnal Green                      "," ",23818,19716,13643,21829,17909,13159,15.09
521,"Blackfriars                        ","N",0,0,0,0,0,0,0.00
522,"Blackhorse Road                    "," ",10718,7296,4945,9820,6482,4479,6.47
524,"Bond Street                        "," ",57023,44164,25411,56033,41408,24914,36.02
525,"Borough                            "," ",7365,4650,3050,7339,4798,3085,4.57
526,"Boston Manor                       "," ",3011,2119,1451,2973,1842,1396,1.89
527,"Bounds Green                       "," ",9048,6775,4686,8292,5933,4548,5.59
528,"Bow Road                           "," ",8216,5324,3700,8008,5174,3612,5.08
529,"Brent Cross                        "," ",3568,2382,2006,3341,2182,1791,2.21
778,"Brixton                            "," ",36383,26562,18140,33521,25148,18046,22.51
530,"Bromley-by-Bow                     "," ",4621,2527,1873,4413,2292,1765,2.75
531,"Buckhurst Hill                     "," ",3155,1892,904,3001,1674,906,1.85
532,"Burnt Oak                          "," ",6265,4165,2796,5765,3931,2681,3.79
534,"Caledonian Road                    "," ",8709,6011,4239,7866,5340,4066,5.27
535,"Camden Town                        "," ",27850,35419,16704,29045,40891,27751,20.99
788,"Canada Water                       "," ",14889,12676,9281,14842,12175,9233,9.91
852,"Canary Wharf                       "," ",80732,28729,19895,82010,29214,20838,46.59
884,"Canning Town                       "," ",13158,11872,8450,12622,11027,8456,8.71
536,"Cannon Street                      ","A",8469,0,0,7529,0,0,4.05,,
537,"Canons Park                        "," ",3141,1478,905,3039,1363,862,1.82
539,"Chalfont & Latimer                 "," ",2127,850,545,1985,808,500,1.19
540,"Chalk Farm                         "," ",8078,7104,5803,6677,5352,3641,4.94
541,"Chancery Lane                      "," ",28614,7778,4136,29768,7509,3825,16.04
718,"Charing Cross                      "," ",29282,25963,16562,29802,24443,16385,19.51
543,"Chesham                            "," ",1165,519,304,916,551,289,0.62
544,"Chigwell                           "," ",882,366,195,693,376,179,0.46
545,"Chiswick Park                      "," ",3109,1711,1078,3454,1718,1131,1.97
546,"Chorleywood                        "," ",1685,666,346,1472,641,324,0.91
547,"Clapham Common                     "," ",12976,11772,7179,14304,13144,7365,9.06
548,"Clapham North                      "," ",7947,7832,4911,9609,7640,4929,5.83
549,"Clapham South                      "," ",12818,8563,5795,12063,7564,5797,7.82
550,"Cockfosters                        "," ",2652,2361,1451,2553,2174,1407,1.72
551,"Colindale                          "," ",6986,4709,3162,6146,3912,2870,4.13
552,"Colliers Wood                      "," ",9036,6839,4621,8251,5978,4442,5.57
553,"Covent Garden                      "," ",25966,29803,20354,29597,41505,22253,20.28
554,"Croxley                            "," ",1458,554,278,1428,510,279,0.82
555,"Dagenham East                      "," ",3802,2320,1419,3423,2165,1314,2.22
556,"Dagenham Heathway                  "," ",7866,4763,2825,7557,4437,2777,4.71
557,"Debden                             "," ",3862,1569,803,3527,1491,766,2.12
558,"Dollis Hill                        "," ",5714,3586,2502,4179,2344,1993,3.08
560,"Ealing Broadway                    "," ",26500,17536,11837,24718,16329,11422,16.09
561,"Ealing Common                      "," ",5063,3918,2619,5054,3446,2566,3.25
562,"Earl's Court                       "," ",30597,31164,24459,28559,30599,22789,20.97
563,"East Acton                         "," ",5421,3679,2670,5394,3329,2546,3.41
565,"East Finchley                      "," ",10565,6503,4096,9971,5469,3929,6.29
